address,company,detail,position
福州,"
字节跳动
",大专以上 | 3年以上 | 全职,大客户广告销售顾问-家居行业
福州,"
字节跳动
",大专以上 | 3年以上 | 全职,大客户广告销售顾问-旅游行业
北京,"
字节跳动
",本科以上 | 全职,高级资深后端研发工程师
深圳,"
字节跳动
",本科以上 | 实习 | 2000-4000元,游戏评测实习生
深圳,"
字节跳动
",本科以上 | 1年以上 | 全职,游戏平台运营
深圳,"
字节跳动
",本科以上 | 1年以上 | 全职,平台产品合作
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,直播电商后台开发工程师
上海,"
字节跳动
",本科以上 | 5年以上 | 全职,资深游戏运营策划
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,短视频运营经理-财经方向
北京,"
字节跳动
",本科以上 | 5年以上 | 全职,海外直播国家经理-土耳其
上海,"
字节跳动
",本科以上 | 3年以上 | 全职,抖音社交产品经理
北京,"
字节跳动
",本科以上 | 1-3年 | 全职 | 20000-40000元,CameraISP算法工程师
北京,"
字节跳动
",本科以上 | 全职 | 40000-60000元,风控算法负责人-短视频电商
北京,"
字节跳动
",本科以上 | 3-5年 | 全职 | 25000-40000元,电商用户增长产品经理
北京,"
字节跳动
",本科以上 | 1-3年 | 全职 | 10000-20000元,短视频内容生态运营经理-中东
西安,"
隆基乐叶光伏
",本科以上 | 5-7年经验 | 全职 | 1-1.5万/月,SQE高级经理
合肥,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,工艺技术工程师
泰州,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,产品开发工程师
泰州,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,新产品导入工程师
泰州,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,有机材料工程师
泰州,"
隆基乐叶光伏
",本科以上 | 五年 | 全职 | 12000-20000,QC经理
泰州,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,无机材料工程师
泰州,"
隆基乐叶光伏
",全职 | 8000-12000,工艺助理工程师
西安,"
隆基乐叶光伏
",大专以上 | 五年 | 全职 | 12000-20000,PMC主管
西安,"
隆基乐叶光伏
",本科以上 | 二年 | 全职 | 12000-20000,质量工程师
泰州,"
隆基乐叶光伏
",本科以上 | 六年 | 全职 | 25000以上,设备副经理
泰州,"
隆基乐叶光伏
",本科以上 | 四年 | 全职 | 12000-20000,SQE副经理
银川,"
隆基乐叶光伏
",全职 | 5000-8000,质量变更工程师
西安,"
隆基乐叶光伏
",本科以上 | 全职 | 8000-12000,客户服务工程师
西安,"
隆基乐叶光伏
",本科以上 | 二年 | 全职 | 8000-12000,MES系统专员--西安乐叶
武汉,"
京东
",本科以上 | 实习 | 3.6-6.0万元,京东新通路Java开发工程师实习生
上海,"
京东
",本科以上 | 5年以上 | 全职 | 21.0-35.0万元,线下拓展运营
上海,"
京东
",大专以上 | 5年以上 | 全职 | 14.0-21.0万元,汽车后市场部-门店运营岗
北京,"
京东
",本科以上 | 4年以上 | 全职 | 18.0-30.0万元,客服业务推进岗
成都,"
京东
",大专以上 | 全职 | 3.6-6.0万元,京东商城客服
北京,"
京东
",本科以上 | 5年以上 | 全职,分布式数据库工程师4604WWS
北京,"
京东
",本科以上 | 全职 | 21.0-35.0万元,整合营销经理
南京,"
京东
",本科以上 | 5年以上 | 全职,机电工程师
北京,"
京东
",本科以上 | 3年以上 | 全职 | 28.0-42.0万元,资深推荐产品经理
北京,"
京东
",本科以上 | 8年以上 | 全职 | 30.0-42.0万元,架构师
宿迁,"
京东
",本科以上 | 5年以上 | 全职,业务分析经理
广州,"
京东
",本科以上 | 2年以上 | 全职,大客户经理岗
广州,"
京东
",本科以上 | 5年以上 | 全职 | 11.7-18.2万元,供应链管理部-三方管理岗
成都,"
京东
",大专以上 | 2年以上 | 全职 | 4.8-7.2万元,价格绑定岗
北京,"
京东
",本科以上 | 2年以上 | 全职,网点管理岗
长沙,"
美团，新美大
",中技以上 | 1年以上 | 全职,快驴事业部-长沙履约采购
北京,"
美团，新美大
",本科以上 | 8年以上 | 全职 | 75.0-97.5万元,基础技术部-Android架构师
北京,"
美团，新美大
",本科以上 | 5年以上 | 全职 | 42.0-82.5万元,基础技术部-基础架构高级研发技术专家
上海,"
美团，新美大
",本科以上 | 4年以上 | 全职,点评平台搜索资深算法专家
北京,"
美团，新美大
",本科以上 | 3-5年 | 全职 | 25000-50000元,web前端
北京,"
美团，新美大
",本科以上 | 5年以上 | 全职,硬件测试工程师
北京,"
美团，新美大
",本科以上 | 3年以上 | 全职,充电宝-高级测试工程师
北京,"
美团，新美大
",硕士以上 | 3年以上 | 全职,算法工程与模型优化工程师-无人车
上海,"
美团，新美大
",本科以上 | 5-10年 | 全职 | 30000-60000元,资深java
北京,"
美团，新美大
",本科以上 | 5年以上 | 全职 | 36.0-60.0万元,高级产品经理-境外住宿
沈阳,"
美团，新美大
",大专以上 | 5年以上 | 全职 | 12.0-21.6万元,美团B2B配送经理
厦门,"
美团，新美大
",3年以上 | 全职 | 15.0-22.5万元,BDM
重庆,"
美团，新美大
",大专以上 | 应届毕业生 | 全职 | 9.6-15.6万元,BD
北京,"
美团，新美大
",本科以上 | 3年以上 | 全职,高级架构师
北京,"
美团，新美大
",本科以上 | 全职 | 20000-40000元,搜索 排序 NLP算法工程师
重庆,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,高级销售代表4800起 住宿
深圳,"
乐有家
",大专以上 | 实习 | 0.6-1.3万/月,销售大学生团队 住宿 7500起
深圳,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,销售实习生7500起 住宿 导师带教
重庆,"
乐有家
",大专以上 | 实习 | 4.5-6千/月,渝北区房产销售代表
深圳,"
乐有家
",大专以上 | 实习 | 6-8千/月,房产销售966 住宿6100起
重庆,"
乐有家
",大专以上 | 应届毕业生 | 实习 | 6-8千/月,20届应届生销售代表4800起 住宿
广州,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,纯大学生团队 销售代表 住宿
广州,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,诚聘20届大学生7200起 住宿
深圳,"
乐有家
",大专以上 | 应届毕业生 | 实习 | 0.6-1.2万/月,纯大学生团队应届生 管培生每月晋升住宿
深圳,"
乐有家
",大专以上 | 实习 | 0.6-1.2万/月,南山区高薪实习生 储备干部 住宿
深圳,"
乐有家
",大专以上 | 实习 | 0.6-1.2万/月,龙华销售新人7500起 住宿 晋升快
深圳,"
乐有家
",大专以上 | 实习 | 0.6-1.2万/月,南山名企聘销售实习生 提供住宿 带教
深圳,"
乐有家
",大专以上 | 实习 | 0.7-1.5万/月,销售管理底薪7K5
深圳,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,加薪啦 乐有家实习生7500起+住宿
深圳,"
乐有家
",大专以上 | 实习 | 0.8-1万/月,宝安招销售助理 实习生 底薪7500起
广州,"
迈瑞
",本科以上 | 3年以上 | 全职,客户经理
深圳,"
迈瑞
",本科以上 | 3年以上 | 全职,物料技术质量认证工程师
深圳,"
迈瑞
",本科以上 | 3年以上 | 全职,产品市场经理
天津,"
迈瑞
",本科以上 | 3年以上 | 全职 | 8.4-10.8万元,用户服务工程师-IVD
南宁,"
迈瑞
",本科以上 | 3年以上 | 全职,销售工程师
大连,"
迈瑞
",本科以上 | 全职 | 12.0-18.0万元,销售代表
乌鲁木齐,"
迈瑞
",全职,销售工程师
深圳,"
迈瑞
",本科以上 | 2年以上 | 全职,研发质量工程师
深圳,"
迈瑞
",本科以上 | 全职 | 14.0-21.0万元,产品数字化项目工程师
深圳,"
迈瑞
",本科以上 | 全职 | 14.0-21.0万元,产品数字化运营工程师
深圳,"
迈瑞
",本科以上 | 3-4年经验 | 全职 | 1.5-2万/月,可靠性工程师
深圳,"
迈瑞
",硕士以上 | 全职,RD30 临床工程师
深圳,"
迈瑞
",本科以上 | 全职,RD32 临床工程师
杭州,"
迈瑞
",硕士以上 | 3年以上 | 全职 | 33.8-52.0万元,医学事务经理
乌鲁木齐,"
迈瑞
",本科以上 | 1年以上 | 全职,用户服务工程师
北京,"
三一重工
",本科以上 | 5年以上 | 全职 | 13.2-21.6万元,工艺工程师
长沙,"
三一重工
",本科以上 | 3年以上 | 全职 | 22.4-40.0万元,底盘工程师
长沙,"
三一重工
",全职 | 2-4K,电话销售
长沙,"
三一重工
",本科以上 | 8年以上 | 全职 | 18.0-36.0万元,云平台管理
长沙,"
三一重工
",本科以上 | 5年以上 | 全职 | 18.0-36.0万元,PLM系统主管
长沙,"
三一重工
",本科以上 | 8年以上 | 全职,采购流程专家
珠海,"
三一重工
",本科以上 | 5年以上 | 全职 | 24.0-32.0万元,策划经理
长沙,"
三一重工
",本科以上 | 5-10年 | 全职 | 18000-25000元,前端开发技术经理
长沙,"
三一重工
",应届生 | 全职 | 0-0K,BA工程师
北京,"
三一重工
",本科以上 | 全职 | 9.6-18.0万元,校招专员
北京,"
三一重工
",本科以上 | 2年以上 | 全职 | 12.0-21.6万元,营销支持专员
北京,"
三一重工
",本科以上 | 全职 | 32.0-64.0万元,软件架构师
长沙,"
三一重工
",本科以上 | 1年以上 | 全职 | 13.0-19.5万元,总账会计
重庆,"
三一重工
",本科以上 | 5年以上 | 全职 | 12.0-24.0万元,财务经理
长沙,"
三一重工
",本科以上 | 5年以上 | 全职 | 18.0-30.0万元,质量检验经理
成都,"
腾讯
",本科以上 | 2年以上 | 全职,WXG10-企业微信数据运营产品经理
广州,"
腾讯
",本科以上 | 2年以上 | 全职,WXG01-微信搜索推荐视觉设计师
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 15000-30000元,行政拓展经理
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,TEG15-海外支付测试经理
西安,"
腾讯
",本科以上 | 3-4年经验 | 全职,CSIG17-云行业测试开发工程师
北京,"
腾讯
",本科以上 | 5-10年 | 全职 | 15000-30000元,平台与内容法律顾问
成都,"
腾讯
",本科以上 | 1年以上 | 全职,WXG10-企业微信技术合作中心后台开发工程师
深圳,"
腾讯
",本科以上 | 2年以上 | 全职,26699-智慧零售小程序商超商户侧运营经理
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,35074-CSIG整合营销品牌经理
重庆,"
腾讯
",本科以上 | 2年以上 | 全职,25664-golang后台开发工程师
深圳,"
腾讯
",本科以上 | 2年以上 | 全职 | 18.0-30.0万元,pcg20-部门秘书
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,WXG10-321 企业微信商务推广经理-深圳
深圳,"
腾讯
",本科以上 | 10年以上 | 全职,S2-高级应收财务经理
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,25663-行业解决方案专家-游戏行业
广州,"
腾讯
",本科以上 | 2年以上 | 全职,WXG03-微信小程序快消品牌行业经理
杭州,"
阿里
",6年以上 | 全职,人力资源部-集团招聘专家-杭州
东营,"
阿里
",本科以上 | 4年以上 | 全职 | 24.0-36.0万元,阿里零售通事业部-城市经理
南昌,"
阿里
",本科以上 | 3年以上 | 全职,菜鸟-城市运营经理-末端事业部
广州,"
阿里
",本科以上 | 3年以上 | 全职 | 19.5-32.5万元,游戏社区运营
杭州,"
阿里
",本科以上 | 3年以上 | 全职 | 24.0-36.0万元,资深java研发工程师java技术专家
郑州,"
阿里
",本科以上 | 3-5年 | 全职 | 20000-40000元,销售专员
杭州,"
阿里
",本科以上 | 全职 | 18.0-36.0万元,UC事业部-搜索排序算法专家高级专家-相关性
广州,"
阿里
",3年以上 | 全职,阿里集团-增长运营专家专员-广州
杭州,"
阿里
",5年以上 | 全职,菜鸟-末端运营专家
杭州,"
阿里
",3年以上 | 全职,ICBU-中国供应商-区域广告产品运营专家-北京
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 25000-50000元,java资深开发工程师 架构师
济南,"
阿里
",5-10年 | 全职 | 20000-40000元,城市经理
杭州,"
阿里
",3年以上 | 全职,政务钉钉事业部-JAVA服务端技术专家-杭州
杭州,"
阿里
",6年以上 | 全职,天猫家装-整合营销专家-杭州
沈阳,"
阿里
",8年以上 | 全职,阿里集团-云业务经理-东北
address,company,detail,position
福州,"
字节跳动
",大专以上 | 3年以上 | 全职,大客户广告销售顾问-家居行业
福州,"
字节跳动
",大专以上 | 3年以上 | 全职,大客户广告销售顾问-旅游行业
北京,"
字节跳动
",本科以上 | 全职,高级资深后端研发工程师
深圳,"
字节跳动
",本科以上 | 实习 | 2000-4000元,游戏评测实习生
深圳,"
字节跳动
",本科以上 | 1年以上 | 全职,游戏平台运营
深圳,"
字节跳动
",本科以上 | 1年以上 | 全职,平台产品合作
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,直播电商后台开发工程师
上海,"
字节跳动
",本科以上 | 5年以上 | 全职,资深游戏运营策划
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,短视频运营经理-财经方向
北京,"
字节跳动
",本科以上 | 5年以上 | 全职,海外直播国家经理-土耳其
上海,"
字节跳动
",本科以上 | 3年以上 | 全职,抖音社交产品经理
北京,"
字节跳动
",本科以上 | 1-3年 | 全职 | 20000-40000元,CameraISP算法工程师
北京,"
字节跳动
",本科以上 | 全职 | 40000-60000元,风控算法负责人-短视频电商
北京,"
字节跳动
",本科以上 | 3-5年 | 全职 | 25000-40000元,电商用户增长产品经理
北京,"
字节跳动
",本科以上 | 1-3年 | 全职 | 10000-20000元,短视频内容生态运营经理-中东
西安,"
隆基乐叶光伏
",本科以上 | 5-7年经验 | 全职 | 1-1.5万/月,SQE高级经理
合肥,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,工艺技术工程师
泰州,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,产品开发工程师
泰州,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,新产品导入工程师
泰州,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 12000-20000,有机材料工程师
泰州,"
隆基乐叶光伏
",本科以上 | 五年 | 全职 | 12000-20000,QC经理
